Date,Server,Revenue_USD
2023-06-12,Server - 3,38
2023-06-13,Server - 3,58
2023-06-14,Server - 3,43
2023-06-15,Server - 3,7
2023-06-16,Server - 3,25
2023-06-17,Server - 3,66
2023-06-18,Server - 3,75
2023-06-12,Server - 5,84
2023-06-13,Server - 5,65
2023-06-14,Server - 5,85
2023-06-15,Server - 5,80
2023-06-16,Server - 5,35
2023-06-17,Server - 5,82
2023-06-18,Server - 5,12
2023-06-12,Server - 6,92
2023-06-13,Server - 6,47
2023-06-14,Server - 6,8
2023-06-15,Server - 6,5
2023-06-16,Server - 6,57
2023-06-17,Server - 6,59
2023-06-18,Server - 6,16
2023-06-12,Server - 8,0
2023-06-13,Server - 8,79
2023-06-14,Server - 8,77
2023-06-15,Server - 8,98
2023-06-16,Server - 8,93
2023-06-17,Server - 8,12
2023-06-18,Server - 8,42
